screen_name,cap_en,cap_unv
Sarah110112,0.20316525868115767,0.11693596663244112
Commonsenseb0t,0.0024124820419756166,0.005778300973814037
JoanKoptis,0.009922300094567935,0.08385114734671234
andrewdkaufman,0.0018284205282117316,0.005778300973814037
markku_laajala,0.021603216955146855,0.038677030425236264
PHTVC15,0.20316525868115767,0.10460347933351005
glover_ceo,0.0034565375041747688,0.008048111281043234
RomanJoySays,0.004775575529426348,0.026940288992638697
kimbird8,0.009922300094567935,0.007183846426565749
Lorin_29,0.0022344951904619756,0.005778300973814037
Abulfaz13188526,0.969139670602045,0.8599563872510622
tmrob17,0.0014187924969112314,0.004725361816828223
healthbeautyjoy,0.0034565375041747688,0.003116817556886547
awesomemsnat,0.001725457650971877,0.005778300973814037
DirkSquirtle,0.0034565375041747688,0.007183846426565749
surfnutsc2,0.18036203754175442,0.13065598435976788
Karen56213181,0.004775575529426348,0.011448498001345467
abesS11I,0.0024124820419756166,0.007183846426565749
mcgill_leigh37,0.7405226576973513,0.661263570635997
pjpmkelly,0.032183220269696264,0.06055916271173367
charlene_gowen,0.018904416758651326,0.030450444848239933
makenzi_10,0.007724054879521963,0.009037049400998034
ToolFreeZone,0.0020801266669107617,0.005778300973814037
Scott87026300,0.6159726892215056,0.24446254495086733
pammilpr,0.001309081196579327,0.0020139366550120737
JoanneSzafrani1,0.42020504633925215,0.26968322684725654
BobbyJoe1956,0.032183220269696264,0.010164988287386762
perlitar1,0.0026183131920431966,0.005213309669283597
MaggieWasHereTo,0.003134129284123964,0.003116817556886547
KaraSnowflake,0.0034565375041747688,0.004725361816828223
IrvJess,0.0022344951904619756,0.010164988287386762
above_the_chaos,0.03657805288858329,0.35515431108103784
occasionatheist,0.00682617488477388,0.003940623559956331
sean_prevost,0.014543680863094452,0.01859922727344653
kbplitt,0.28686866458066024,0.11693596663244112
WildThing4040,0.0026183131920431966,0.0029102973297387607
jogeo,0.0014828129117616376,0.0027296301902785666
sunrisemvmt,0.0060434470460022415,0.003626193494014071
EmptySuitTrump,0.0015543510151536995,0.010164988287386762
YogiTolord,0.0018284205282117316,0.0043042404804791
RobertPhilbri12,0.20316525868115767,0.5319634089641295
KathrynAntonsen,0.009922300094567935,0.01859922727344653
ToddBiggar,0.00682617488477388,0.026940288992638697
ashleyrachellea,0.0020801266669107617,0.005213309669283597
CJFlom,0.002856940094612955,0.06747906081432216
FMoniteau,0.11046376827194711,0.22121616027906205
tsbarnes89,0.07583235670880943,0.1998825988113924
Deplora26124312,0.005363701003450149,0.026940288992638697
KazmerDiedre,0.012788431177246198,0.014565852401308765
dianabechini93,0.03657805288858329,0.14577620294303828
HARRYthekid1,0.018904416758651326,0.026940288992638697
annagaranin,0.48270052072345504,0.29676876603976116
rollinson,0.0014187924969112314,0.002571043998532308
WairarapaJane,0.018904416758651326,0.038677030425236264
CampFamilies,0.18036203754175442,0.26968322684725654
BlackIrishI,0.008750694009244317,0.026940288992638697
